source_id,name,organization_name,sector,jurisdiction,state,official_domain,notice_list_url,notice_list_type,opportunity_types,keywords,priority,notes
stqc,Standardisation Testing and Quality Certification,STQC (MeitY),central,national,,stqc.gov.in,https://www.stqc.gov.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,IT security testing/audit roles; verify notice URL
i4c,Indian Cyber Crime Coordination Centre,I4C (MHA),central,national,,mha.gov.in,https://www.mha.gov.in/en/notifications/vacancies,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Cybercrime coordination under MHA; vacancies page (found)
drdo-rac,DRDO Recruitment and Assessment Centre,DRDO (RAC),research,national,,rac.gov.in,https://rac.gov.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,DRDO scientist recruitment incl. cyber labs (SAG/CAIR); PRD names DRDO
drdo,Defence Research and Development Organisation,DRDO,research,national,,drdo.gov.in,https://www.drdo.gov.in/drdo/en/offerings/vacancies,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,DRDO labs (JRF/apprentice); vacancies page (found)
isro,Indian Space Research Organisation,ISRO,research,national,,isro.gov.in,https://www.isro.gov.in/Careers.html,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Space systems + IT/cyber security roles; verify notice URL
bel,Bharat Electronics Limited,BEL,psu,national,,bel-india.in,https://bel-india.in/job-notifications/,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Defence electronics PSU - cyber/network security; job page (found)
ecil,Electronics Corporation of India Limited,ECIL,psu,national,,ecil.co.in,https://www.ecil.co.in/jobopenings,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Strategic electronics PSU; job openings page (found)
bdl,Bharat Dynamics Limited,BDL,psu,national,,bdl-india.in,https://bdl-india.in/recruitments,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Defence PSU; recruitments page (found)
hal,Hindustan Aeronautics Limited,HAL,psu,national,,hal-india.co.in,https://hal-india.co.in/career,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Defence PSU - IT/cyber roles; verify notice URL
rbi,Reserve Bank of India,Reserve Bank of India (RBI),banking,national,,rbi.org.in,https://opportunities.rbi.org.in/Scripts/Vacancies.aspx,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,RBI Grade B (IT) + cyber security officers - strong cyber hiring
idrbt,Institute for Development and Research in Banking Technology,IDRBT (RBI),banking,national,,idrbt.ac.in,https://www.idrbt.ac.in/careers/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,RBI's banking-tech + cyber research arm; verify notice URL
sebi,Securities and Exchange Board of India,SEBI,banking,national,,sebi.gov.in,https://www.sebi.gov.in/sebiweb/about/AboutAction.do?doRecruitment=yes,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Grade A (IT) incl. cyber security stream; verify notice URL
nabard,National Bank for Agriculture and Rural Development,NABARD,banking,national,,nabard.org,https://www.nabard.org/careernotices.aspx,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Grade A/B IT officers; verify notice URL
railtel,RailTel Corporation of India,RailTel,psu,national,,railtel.in,https://www.railtel.in/career.html,static_html,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,5,Telecom PSU with SOC/cyber ops - PRD names RailTel; careers page (found)
bsnl,Bharat Sanchar Nigam Limited,BSNL,psu,national,,bsnl.co.in,https://www.bsnl.co.in/opencms/bsnl/BSNL/about_us/company/recruitment.html,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Telecom PSU - network/cyber security; verify notice URL
powergrid,Power Grid Corporation of India,POWERGRID,psu,national,,powergrid.in,https://www.powergrid.in/en/careers,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Grid operator - OT/SCADA cyber security via GATE; verify notice URL
ntpc,NTPC Limited,NTPC,psu,national,,ntpc.co.in,https://www.ntpc.co.in/en/careers/latest-openings,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Power PSU - IT/cyber officers via GATE; verify notice URL
ongc,Oil and Natural Gas Corporation,ONGC,psu,national,,ongcindia.com,https://ongcindia.com/web/eng/career,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,Energy PSU - IT/cyber roles via GATE; verify notice URL
army,Indian Army,Indian Army,defence,national,,joinindianarmy.nic.in,https://joinindianarmy.nic.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Technical Entry + cyber/Signals; Defence Cyber Agency cadre; verify URL
navy,Indian Navy,Indian Navy,defence,national,,joinindiannavy.gov.in,https://www.joinindiannavy.gov.in/,unknown,jobs,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,4,Technical/IT entries incl. cyber; verify URL
uppsc,Uttar Pradesh Public Service Commission,UPPSC,state,Uttar Pradesh,Uttar Pradesh,uppsc.up.nic.in,https://uppsc.up.nic.in/,static_html,jobs|results,recruit|vacan|advertisement|advt|notification|apprentice|walk-in|engagement|empanel|jrf|srf|fellowship|internship,3,State PSC - occasional computer/IT/cyber posts
